BOMBONE v.pun SOUR MIX-PROZOR 2/100 PEZ,AL-GROSSO 024,BOMBONE v.pun SOUR MIX-PROZOR 2/100 PEZ,22.00,AL-GROSSO 024,,10.00
ALEKSANDRIJA - STRUDLA MESANA RF 4/1,ALEKS 04,ALEKSANDRIJA - STRUDLA MESANA RF 4/1,290.00,ALEKS 04,,jan.91
APATINSKO PIVO 2L 6/1,APATIN 01,APATINSKO PIVO 2L 6/1,132.00,APATIN 01,,3.00
JELEN PIVO 1L 9/1,APATIN 07,JELEN PIVO 1L 9/1,95.00,APATIN 07,,9.00
JELEN PIVO LIMENKA 0.5 24/1,APATIN 08,JELEN PIVO LIMENKA 0.5 24/1,60.00,APATIN 08,,16.00
DIABETINO 1kG x 5 sa kokosom,API-PEK 01,DIABETINO 1kG x 5 sa kokosom,415.00,API-PEK 01,,0.89
DIABETINO sa cimetom 1kg x 5#,API-PEK 06,DIABETINO sa cimetom 1kg x 5#,415.00,API-PEK 06,,1.00
BOMBONE BLASY 2kg  6kg/1#,ART 01,BOMBONE BLASY 2kg  6kg/1#,359.00,ART 01,,feb.40
TAAN ALVA BELA 250gr 18/#,ASKUS 001,TAAN ALVA BELA 250gr 18/#,117.00,ASKUS 001,,3.00
TAAN ALVA COKO 250gr 18/#,ASKUS 004,TAAN ALVA COKO 250gr 18/#,117.00,ASKUS 004,,3.00
PLAZMA KEKS 75gr x 32-BAMBI,BAMBI 002,PLAZMA KEKS 75gr x 32-BAMBI,37.00,BAMBI 002,,3.00
PLAZMA KEKS 150gr x 48-BAMBI,BAMBI 003,PLAZMA KEKS 150gr x 48-BAMBI,72.00,BAMBI 003,,2.00
PLAZMA KEKS 300gr x 24-BAMBI,BAMBI 004,PLAZMA KEKS 300gr x 24-BAMBI,141.00,BAMBI 004,,3.00
PLAZMA MLEVENA 300gr x16-BAMBI,BAMBI 006,PLAZMA MLEVENA 300gr x16-BAMBI,143.00,BAMBI 006,,4.00
ZLATNI PEK RF 4.2kg BAMBI,BAMBI 008,ZLATNI PEK RF 4.2kg BAMBI,140.00,BAMBI 008,,jan.28
BAMBI MIX 400gr x 10-BAMBI,BAMBI 018,BAMBI MIX 400gr x 10-BAMBI,93.00,BAMBI 018,,3.00
BAMBIJEVE RIBICE 90gr x 32-BAMBI,BAMBI 019,BAMBIJEVE RIBICE 90gr x 32-BAMBI,21.00,BAMBI 019,,2.00
PERECE 90grx 28-BAMBI,BAMBI 021,PERECE 90grx 28-BAMBI,22.00,BAMBI 021,,2.00
MLECNI KEKS 4.5 KG RF,BAMBI 038,MLECNI KEKS 4.5 KG RF,170.00,BAMBI 038,,apr.20
INT.KEKS LESNIK 210gr 16/1# WELLNES,BAMBI 041,INT.KEKS LESNIK 210gr 16/1# WELLNES,75.00,BAMBI 041,,2.00
INT.KEKS S.GROZDJE 210gr 16/1# WELLNES,BAMBI 042,INT.KEKS S.GROZDJE 210gr 16/1# WELLNES,65.00,BAMBI 042,,1.00
YO DORO NAPOLI.COKOLADA 200g 20/1#,BAMBI 053,YO DORO NAPOLI.COKOLADA 200g 20/1#,60.00,BAMBI 053,,0.00
YO DORO NAPO.MLEKO-LES 200gr  20/1#,BAMBI 054,YO DORO NAPO.MLEKO-LES 200gr  20/1#,60.00,BAMBI 054,,0.00
COKO PLAZMA 60g  24/1#,BAMBI 068,COKO PLAZMA 60g  24/1#,37.50,BAMBI 068,,2.00
INT.KEKS NARAN.COKOLADA 205gr 18/1# WEL,BAMBI 069,INT.KEKS NARAN.COKOLADA 205gr 18/1# WEL,87.00,BAMBI 069,,2.00
YO DORO BALANS KAKAO 100g 32/1#,BAMBI 074,YO DORO BALANS KAKAO 100g 32/1#,58.00,BAMBI 074,,0.00
ZLATNI PEK COKOLADA  180gr 14/1#,BAMBI 083,ZLATNI PEK COKOLADA  180gr 14/1#,45.00,BAMBI 083,,1.00
ZLATNI PEK MED 180gr 14/1#,BAMBI 086,ZLATNI PEK MED 180gr 14/1#,47.00,BAMBI 086,,3.00
NOTTE LESNIK 30g 20/1# BAMBI,BAMBI 094,NOTTE LESNIK 30g 20/1# BAMBI,26.00,BAMBI 094,,16.00
COK.NARANDZA CRNA 90g 23/1#,BAMBI 103,COK.NARANDZA CRNA 90g 23/1#,76.00,BAMBI 103,,0.00
COK.MALINA CRNA 90g 21/1#,BAMBI 107,COK.MALINA CRNA 90g 21/1#,75.00,BAMBI 107,,1.00
COK.VISNJA CRNA 90g 21/1#,BAMBI 114,COK.VISNJA CRNA 90g 21/1#,75.00,BAMBI 114,,2.00
COKOLADA70% KAKAO 90g 23/1#,BAMBI 115,COKOLADA70% KAKAO 90g 23/1#,73.00,BAMBI 115,,3.00
PLAZMA DOBAR START 450g 6/1# BAMBI,BAMBI 124,PLAZMA DOBAR START 450g 6/1# BAMBI,226.00,BAMBI 124,,1.00
INT.KEKS BRUSNICA JOG.205g WELLNES 18/1,BAMBI 135,INT.KEKS BRUSNICA JOG.205g WELLNES 18/1,100.00,BAMBI 135,,2.00
JUHU PUCKETAVA ML.COKO.30g 36/1#,BAMBI 139,JUHU PUCKETAVA ML.COKO.30g 36/1#,22.00,BAMBI 139,,10.00
YO-YO 30g x20kom 12 TK - BANAT,BANAT 18,YO-YO 30g x20kom 12 TK - BANAT,15.00,BANAT 18,,20.00
JUHU-PLAZMA 27grx36kom 12/1# - BANAT,BANAT 28,JUHU-PLAZMA 27grx36kom 12/1# - BANAT,21.00,BANAT 28,,34.00
NOBLICE 5kg-BANINI,BANINI 01,NOBLICE 5kg-BANINI,235.00,BANINI 01,,3.nov
NOBLICE 125g 30kom 3.75kg-BANINI,BANINI 06,NOBLICE 125g 30kom 3.75kg-BANINI,49.00,BANINI 06,,2.00
NOBLICE 250g 15kom 3.75kg-BANINI,BANINI 07,NOBLICE 250g 15kom 3.75kg-BANINI,90.00,BANINI 07,,3.00
TOTO 137.5g 30/1 4.125kg-BANINI,BANINI 08,TOTO 137.5g 30/1 4.125kg-BANINI,46.00,BANINI 08,,3.00
DOMACICA 275g 15kom 4.125kg-BANINI,BANINI 14,DOMACICA 275g 15kom 4.125kg-BANINI,88.00,BANINI 14,,3.00
RUM KASATO 120G 40kom-BANINI,BANINI 16,RUM KASATO 120G 40kom-BANINI,35.00,BANINI 16,,3.00
DOMACICA 4.125 kg,BANINI 28,DOMACICA 4.125 kg,220.00,BANINI 28,,jan.27
SLANI STAPICI SUSAM -POSNI 3kg,BART 009,SLANI STAPICI SUSAM -POSNI 3kg,330.00,BART 009,,feb.17
SLANI STAPICI INTEGRALNI -POSNI 3kg,BART 010,SLANI STAPICI INTEGRALNI -POSNI 3kg,330.00,BART 010,,feb.79
FIGURINE 9/1,BARVALO 001,FIGURINE 9/1,18.00,BARVALO 001,,29.00
V.FIGURE 1/1,BARVALO 002,V.FIGURE 1/1,282.00,BARVALO 002,,3.00
MALE KOPACKE 2/1,BARVALO 009,MALE KOPACKE 2/1,288.00,BARVALO 009,,2.00
